date,description,amount
2025-01-02,Netflix.com Monthly Subscription,649.00
2025-01-02,Spotify Premium Monthly Subscription,119.00
2025-01-02,YouTube Premium Subscription,189.00
2025-01-02,Amazon Prime Video Subscription,299.00
2025-01-03,Zomato food delivery order,380.00
2025-01-05,Uber cab booking,250.00
2025-01-07,Swiggy food order,520.00
2025-01-09,Amazon.in electronics purchase,3499.00
2025-01-11,Zomato food delivery order,440.00
2025-01-12,BookMyShow movie tickets,600.00
2025-01-13,Uber cab booking,195.00
2025-01-15,Swiggy food order,650.00
2025-01-16,Zomato Pro Annual membership,299.00
2025-01-18,Myntra clothing purchase,2499.00
2025-01-19,Uber cab booking,320.00
2025-01-20,Starbucks Coffee,680.00
2025-01-22,Zomato food delivery order,350.00
2025-01-23,Flipkart fashion purchase,1799.00
2025-01-24,Steam gaming purchase,950.00
2025-01-25,Swiggy Instamart groceries,890.00
2025-01-26,Ola cab booking,180.00
2025-01-28,Zomato food delivery order,420.00
2025-01-29,Swiggy food order,480.00
2025-01-30,PVR Cinemas movie tickets,700.00
2025-01-31,Uber cab booking,285.00
2025-01-31,Cafe Coffee Day,348.00
2025-02-01,Netflix.com Monthly Subscription,649.00
2025-02-01,Spotify Premium Monthly Subscription,119.00
2025-02-01,YouTube Premium Subscription,189.00
2025-02-01,Amazon Prime Video Subscription,299.00
2025-02-03,Zomato food delivery order,580.00
2025-02-04,Swiggy food order,480.00
2025-02-05,Uber cab booking,320.00
2025-02-06,Swiggy food order,520.00
2025-02-07,Amazon.in household items,2199.00
2025-02-08,Zomato food delivery order,380.00
2025-02-10,Myntra sale purchase,3499.00
2025-02-11,Zomato food delivery order,490.00
2025-02-12,Amazon fresh grocery delivery,850.00
2025-02-13,BookMyShow concert tickets,1200.00
2025-02-14,Uber cab booking,380.00
2025-02-15,Zomato Pro renewal membership,299.00
2025-02-16,Swiggy Instamart groceries,1100.00
2025-02-17,Zomato food delivery order,410.00
2025-02-18,Ola cab booking,220.00
2025-02-20,Rapido bike ride,150.00
2025-02-21,Flipkart electronics purchase,4999.00
2025-02-22,Swiggy food order,540.00
2025-02-23,Starbucks Coffee,720.00
2025-02-24,Zomato food delivery order,350.00
2025-02-25,Uber cab booking,290.00
2025-02-26,PVR Cinemas movie tickets,800.00
2025-02-27,Swiggy food order,455.00
2025-02-28,Zomato food delivery order,312.00
2025-03-01,Netflix.com Monthly Subscription,699.00
2025-03-01,Spotify Premium Monthly Subscription,149.00
2025-03-01,YouTube Premium Subscription,189.00
2025-03-01,Amazon Prime Video Subscription,299.00
2025-03-03,Zomato food delivery order,450.00
2025-03-04,Zomato food delivery order,520.00
2025-03-05,Uber cab booking,280.00
2025-03-07,Swiggy food order,560.00
2025-03-08,Amazon.in purchase,1899.00
2025-03-09,Swiggy food order,640.00
2025-03-10,Myntra sale purchase,2299.00
2025-03-11,Zomato food delivery order,380.00
2025-03-13,BookMyShow movie tickets,550.00
2025-03-14,Zomato Pro renewal membership,299.00
2025-03-15,Uber cab booking,350.00
2025-03-16,Rapido bike ride,180.00
2025-03-17,Swiggy Instamart groceries,950.00
2025-03-18,Zomato food delivery order,420.00
2025-03-19,Ola cab booking,190.00
2025-03-20,Amazon fresh grocery delivery,780.00
2025-03-21,Flipkart fashion purchase,1799.00
2025-03-22,Swiggy food order,490.00
2025-03-23,Starbucks Coffee,680.00
2025-03-24,Cafe Coffee Day,450.00
2025-03-25,Zomato food delivery order,310.00
2025-03-26,Uber cab booking,260.00
2025-03-27,PVR Cinemas movie tickets,650.00
2025-03-28,Steam gaming purchase,750.00
2025-03-29,Swiggy food order,435.00
2025-03-30,Amazon.in electronics purchase,2500.00
2025-03-31,Zomato food delivery order,268.00
