date,description,amount
2025-01-01,Salary Credit January 2025 NEFT,85000.00
2025-01-10,BESCOM Electricity Bill Payment,1200.00
2025-01-15,Airtel Broadband Bill Payment,999.00
2025-01-25,Parag Parikh Flexi Cap Fund SIP,5000.00
2025-02-01,Salary Credit February 2025 NEFT,85000.00
2025-02-05,HDFC Credit Card Bill Payment,18850.00
2025-02-10,BESCOM Electricity Bill Payment,1350.00
2025-02-12,Airtel Broadband Bill Payment,999.00
2025-02-18,ICICI Credit Card Bill Payment,12400.00
2025-02-25,Parag Parikh Flexi Cap Fund SIP,5000.00
2025-02-28,Groww Mutual Fund SIP Nifty 50,3000.00
2025-03-01,Salary Credit March 2025 NEFT,85000.00
2025-03-05,HDFC Credit Card Bill Payment,22650.00
2025-03-08,BESCOM Electricity Bill Payment,1100.00
2025-03-12,Airtel Broadband Bill Payment,999.00
2025-03-18,ICICI Credit Card Bill Payment,10100.00
2025-03-25,Parag Parikh Flexi Cap Fund SIP,5000.00
2025-03-28,Groww Mutual Fund SIP Nifty 50,3000.00
2025-03-31,LIC Premium Payment Term Insurance,4500.00
